"","nGene","nReads","orig.ident"
"B13.MAA001883.3_39_F.1.1",1866,147027,"Marrow"
"B13.MAA001884.3_38_F.1.1",2201,743431,"Marrow"
"B13.MAA001887.3_39_F.1.1",5863,1211464,"Marrow"
"B14.D041912.3_8_M.1.1",2913,1118613,"Marrow"
"B14.D042044.3_9_M.1.1",2252,408140,"Marrow"
"B14.D042193.3_8_M.1.1",2131,865039,"Marrow"
"B14.MAA000409.3_10_M.1.1",2203,821325,"Marrow"
"B14.MAA000596.3_9_M.1.1",5251,791147,"Marrow"
"B14.MAA000600.3_8_M.1.1",4434,739508,"Marrow"
"B14.MAA000639.3_9_M.1.1",4172,931784,"Marrow"
"B14.MAA000652.3_10_M.1.1",1343,152011,"Marrow"
"B14.MAA000844.3_10_M.1.1",2738,861732,"Marrow"
"B14.MAA000848.3_10_M.1.1",4037,837244,"Marrow"
"B14.MAA001883.3_39_F.1.1",1823,141573,"Marrow"
"B14.MAA001884.3_38_F.1.1",1545,606945,"Marrow"
"B14.MAA001887.3_39_F.1.1",3924,443010,"Marrow"
"B15.D041912.3_8_M.1.1",6124,1063674,"Marrow"
"B15.D042044.3_9_M.1.1",2176,421227,"Marrow"
"B15.D042193.3_8_M.1.1",1629,468779,"Marrow"
"B15.D042479.3_8_M.1.1",1579,105950,"Marrow"
"B15.MAA000409.3_10_M.1.1",1495,451218,"Marrow"
"B15.MAA000596.3_9_M.1.1",2802,236608,"Marrow"
"B15.MAA000600.3_8_M.1.1",3405,377917,"Marrow"
"B15.MAA000639.3_9_M.1.1",3039,660415,"Marrow"
"B15.MAA000652.3_10_M.1.1",1923,196949,"Marrow"
"B15.MAA000844.3_10_M.1.1",1922,422515,"Marrow"
"B15.MAA000848.3_10_M.1.1",3315,277457,"Marrow"
"B15.MAA001883.3_39_F.1.1",2267,181191,"Marrow"
"B15.MAA001884.3_38_F.1.1",1782,917974,"Marrow"
"B16.D041912.3_8_M.1.1",1732,387608,"Marrow"
"B16.D042044.3_9_M.1.1",4009,1182553,"Marrow"
"B16.D042193.3_8_M.1.1",3674,545606,"Marrow"
"B16.D042479.3_8_M.1.1",2201,370635,"Marrow"
"B16.D045140.3_38_F.1.1",1406,1000964,"Marrow"
"B16.MAA000409.3_10_M.1.1",1469,447637,"Marrow"
"B16.MAA000600.3_8_M.1.1",6064,1107300,"Marrow"
"B16.MAA000639.3_9_M.1.1",1757,200345,"Marrow"
"B16.MAA000652.3_10_M.1.1",2375,425288,"Marrow"
"B16.MAA000844.3_10_M.1.1",2521,834310,"Marrow"
"B16.MAA000848.3_10_M.1.1",4036,632829,"Marrow"
"B16.MAA001883.3_39_F.1.1",1867,105121,"Marrow"
"B16.MAA001884.3_38_F.1.1",2880,1136375,"Marrow"
"B16.MAA001887.3_39_F.1.1",6539,1806678,"Marrow"
"B16.MAA001888.3_39_F.1.1",6267,938200,"Marrow"
